5154|13788|21562|1864|4345|8141
26056|29269|424|35942|2424|13391
2266|7359|13158|12627|1068|2000
30315|26056|28462|30685|37554|25965
15484|87|10073|10755|16154|5040
22625|5154|9743|254|1815|17950
8971|30485|39207|4962|254|27460
587|5868|17850|16034|8799|99
7673|33183|30686|26093|38838|2424
200|387|8046|14|27367|2424
3749|484|45420|10360|435|5732
347|22289|60|535|1839|492
4101|32340|29767|389|28433|28439
17052|7420|4268|21848|37218|21655
64|44293|11229|31524|25511|22818
78|1178|254|12151|2266|2424
40390|18568|2509|3449|13908|25409
17018|21530|14534|30807|22724|33982
2266|45491|14905|7687|2923|2424
1178|4962|31524|254|387|2266
1577|4101|2231|44305|19425|435
3707|17786|6749|36350|10363|23
16698|15279|20793|33925|20767|6926
903|11190|263|16219|40757|4371
3286|718|39601|16344|99|5701
4101|3199|30109|17253|45420|44062
20200|13665|4794|11172|24574|4686
30979|18037|40918|387|16034|20767
5583|34123|12371|1570|20767|2424
268|2231|3199|2266|20767|14
12|42591|17542|41546|2266|22174
10149|21562|1864|8046|3244|4643
21562|235|10135|12918|1710|5040
4962|31524|21562|21848|32538|2424
474|12151|40918|45677|20767|2424
23067|10393|13304|19469|22039|13391
13331|6864|9885|23067|13304|16034
20624|21692|753|8268|1950|8141
20409|21261|21383|14324|17006|17935
6895|18088|32538|12911|28474|25171
37300|22625|17018|4962|5257|19469
26043|42|10983|33526|32053|6325
30114|21488|2000|5448|31517|6926
87|10097|36294|31524|32888|15859
3034|3095|142|21562|40918|23668
1348|108|6642|16372|14|1950
23067|21997|19842|21646|46622|26774
37349|171|46352|19260|18449|38321
680|7827|54|1178|40918|16034
16643|87|17287|3095|9039|12151
29182|8088|31524|14222|214|1710
27580|12366|1050|522|17346|19638
18263|689|7079|2266|3478|11123
78|10936|14534|13788|268|2266
10073|10097|5105|12807|5266|11887
30209|387|2266|37279|16034|2424
19429|4962|819|39872|30682|20033
171|38652|87|34773|33548|21562
15691|20892|8694|286|22831|34880
577|26942|31874|15306|44947|435
31570|27806|17139|10610|16574|2424
23842|6726|337|2613|4320|35838
6208|2965|34196|2266|6772|17346
15299|4962|31524|21389|819|60
2714|5287|10149|4636|14|5040
30169|26814|29112|35300|32448|26056
273|17857|2231|19|45420|3095
19260|44681|33116|21562|22279|8538
6833|12151|8342|38438|4788|2424
27924|254|24387|9285|29161|36084
31524|187|21562|29413|20941|2424
1006|1178|4962|3830|1710|3478
37329|738|7442|13496|2266|2424
7439|33998|87|28385|28416|14534
18624|42004|9106|529|427|1775
15670|28461|64|30109|254|2266
174|29767|12863|29756|26056|1116
5448|28370|13804|31524|12911|36936
2231|5685|1178|40918|7591|2057
24467|22877|10936|36396|32538|16034
214|39879|529|200|12371|2424
3199|33216|29094|1889|7687|6631
5012|4894|8285|13391|2424|3802
29247|2009|20941|15749|31992|20767
10062|680|1674|1165|2231|22289
8046|4215|25150|87|19260|2266
32284|32684|2639|3095|16034|2424
680|25391|30109|19260|31524|24144
5909|1050|21981|5923|18162|484
1050|31910|8694|21558|17915|7218
37329|2244|11186|3199|41665|20767
20793|21488|38838|2000|7747|6926
25069|15956|15484|18495|1023|22615
3095|4962|31524|254|387|2266
422|14465|200|12003|37793|1710
5996|347|6864|22289|20941|21999
7653|64|268|3199|1522|38070
3337|19307|451|19473|31421|19871
18778|3197|17006|31499|14|4231
3362|1178|12151|35838|3878|4597
11190|16351|12151|387|2266|3478
1178|39207|37329|2266|20767|2424
3095|474|9166|16839|12151|268
26714|2631|27431|19663|17850|19307
12918|268|200|2042|174|20767
1577|554|577|3199|24876|22551
87|13680|22625|254|2733|8809
9691|64|680|23351|2231|19752
5105|3095|14630|26155|423|33982
78|16466|31524|529|14458|2424
5583|15344|13517|26027|2266|20160
19260|37161|9361|12771|16750|36802
4213|12604|23853|1178|12151|11123
1535|32448|12863|30315|26056|35602
37349|44062|709|37329|16034|20767
31524|12151|40918|32538|848|16034
5903|8046|8023|16818|10360|435
20216|20460|17018|21530|26814|12892
35603|29100|21562|10557|29413|28175
2231|1178|12151|2694|35838|31026
30979|20200|31524|20809|22048|31180
474|14316|8701|14839|16034|7946
2631|344|1215|171|16167|32393
6099|6204|15428|25623|7180|40440
5279|25369|15794|3199|33693|2424
31199|5656|16167|19571|819|42302
1178|4962|31524|4096|726|560
554|3199|3878|3732|16706|21106
214|24306|5583|387|77|2424
24581|4416|9193|13032|17136|19871
26145|28462|37864|21562|35300|28606
5575|16137|602|435|13812|17756
14534|12050|18207|35838|21729|15833
31524|24222|40918|7764|32538|2424
13551|10226|22877|12044|6864|30076
3095|35293|12151|40918|35838|20354
2231|87|54|37329|1331|1522
30185|32974|20624|5434|29324|21562
4544|17609|28123|8898|6029|22062
19260|30979|30241|40918|34894|32237
692|2231|10936|35838|4636|39161
14534|13788|11201|14465|7896|32448
12904|4229|25169|28416|21848|6864
24281|3095|3340|2694|20628|2424
17006|8468|32393|30242|8836|1950
20476|12151|32538|1674|36296|28106
44792|15291|6864|13580|15749|1950
4491|387|8046|21488|38838|2424
680|27806|9179|23067|4597|14458
39258|30522|22724|26324|848|14557
1097|29413|23067|13304|15749|7687
2231|22551|25665|40918|44341|45995
602|37349|3095|1178|37329|12151
40918|1331|4491|33272|20160|2424
3199|4027|10491|41|4649|7244
38652|219|2|12610|1178|12151
14534|13731|12151|27691|29|8023
29845|24652|23986|13177|10074|5177
14534|13788|9259|20892|7926|11882
3478|1904|2000|3117|14458|9657
17339|44989|45990|12911|38438|43306
4962|6726|738|187|12151|4636
80|14939|20336|30686|1950|4686
25391|22551|1178|11289|35838|16861
1669|35915|12151|10356|2010|2266
14|7997|13014|2231|3332|25728
15798|19301|5284|3478|4260|2424
22187|2231|30109|4934|19260|8426
200|3199|4788|387|726|113
680|20892|7926|13727|2231|435
21562|35838|5986|27380|11624|2266
22625|27806|1178|20717|16861|2424
25301|19962|18162|35651|24652|32406
216|254|17422|8046|2266|20767
30323|39162|31524|12151|13674|99
4962|33483|187|254|12151|80
4962|31524|254|19196|21562|20033
7714|25721|28970|31524|16913|20048
602|3732|435|10097|1396|6178
32537|87|219|20377|21562|16034
4962|187|254|12151|80|2266
2392|15279|29767|14905|26056|26189
34123|25822|4416|7716|35507|13032
738|40918|24880|32527|20892|2266
23469|19307|33901|22877|10755|27691
30697|16466|3095|12151|40918|24289
34469|29464|25069|14088|6902|20464
20521|25879|5205|35507|41314|19002
20941|4845|26056|26156|26165|13391
5154|14316|21616|2694|268|18924
1178|12151|40918|39341|16789|2424
32340|4156|31524|254|21562|20767
17460|22625|19973|42031|1178|2424
12912|32538|11108|14324|20412|3973
2231|2300|31296|43368|20160|28439
20941|22039|15749|27041|21999|29388
42433|2829|22241|21220|46352|12151
31524|1674|4597|2266|16034|2424
37329|42411|41235|3478|34108|33663
11190|14700|21848|13473|32527|28759
4474|435|3124|452|2131|5160
1475|13149|10706|4636|16429|9657
22625|27806|22107|13788|29100|30464
21065|19260|10936|37329|18848|2255
2231|22551|19260|12151|2694|2266
26776|364|879|4069|3064|21839
27907|11241|1050|14530|10283|29964
19191|22877|78|20046|1097|6864
19260|27174|37329|7764|18116|20767
30768|404|20941|17814|21999|1950
39831|1577|31807|9077|2424|4686
40918|12911|4787|2266|20767|14
2829|3199|13052|30109|17421|16034
17265|376|1474|21488|14458|9657
10360|11983|15944|2924|37814|8799
22595|8307|21625|37814|22062|15462
46352|19260|37329|40918|12808|21889
12396|31524|1669|9967|20941|21999
87|46352|46538|13423|31548|13857
364|701|30978|6642|24105|2009
10658|27236|2450|3178|5105|14316
187|5091|12968|29468|64|7099
10755|15291|37329|11359|8778|2424
19260|4446|12151|35838|1331|3478
12790|2231|35058|28937|277|38740
4448|19798|8189|20842|15176|20941
1095|16154|16861|2266|14|1950
12396|11457|15344|20941|15749|3478
5834|12396|11457|1097|20941|15749
22841|31858|19008|30467|5737|2424
16534|9772|34890|2266|20831|20767
31527|6864|25069|29767|22039|15749
2231|17782|819|3749|12816|22493
3095|21|14258|30971|100|32538
12151|80|38438|7938|20941|2424
60|19568|3635|44774|33951|14458
538|23161|32538|12911|38902|3878
22326|5154|10936|14534|2266|4686
171|87|38652|35921|25288|17883
31296|28869|28744|21562|40918|4562
13908|5430|17227|14454|13674|8921
12779|20659|1669|8672|7764|19571
25411|2266|3478|22551|435|22349
7292|22221|12068|12910|6005|38838
5754|16378|2231|4076|16839|20767
30165|27864|27467|2231|35070|25169
24880|387|6810|8921|560|11123
43368|4727|11248|5154|10936|9039
36420|22704|19531|22877|37216|34412
16861|2829|16706|919|16034|345
17478|879|11422|3064|16298|10886
21562|34845|25478|174|35229|16034
4|254|41948|6175|20767|4686
9379|21107|24652|28974|2424|4686
3478|14538|177|1304|435|113
6113|35960|31132|40918|35838|21488
29364|16021|46190|22879|12533|11714
18078|10226|5956|13580|3031|36170
435|16021|10097|1475|5242|5018
9575|21385|25069|6902|2295|2266
20793|17398|1635|12808|99|492
7216|4515|6582|1789|13882|11065
29950|147|18269|43054|42205|20767
78|39420|1178|39207|37329|30377
1215|4615|577|277|20767|2424
19284|19307|4234|17774|13391|19871
33986|25217|32340|35928|22615|28433
20592|5361|4934|23724|12496|8046
34381|20140|438|13501|37554|35602
16913|12918|4875|2266|20160|11882
33949|3133|7827|15654|14|14458
22289|60|3267|3689|10326|1839
15344|19296|18487|2424|4686|9657
21624|13788|24365|268|4235|2266
1498|5956|12396|13304|15749|21999
27467|7827|1845|35070|34465|35838
469|4962|187|254|16734|4686
6209|19429|78|16913|9013|20941
26932|1545|3749|2266|10335|4686
31524|13788|40918|422|21729|2424
27939|3286|28106|4416|8799|8907
9127|254|4562|268|2424|4686
1215|42387|37814|3199|41128|2424
22497|19260|3095|5491|40918|24074
187|21562|32538|23260|1050|2424
4882|13788|2694|7764|18208|8921
21763|27458|20200|3095|469|187
23010|1475|1178|11364|12151|2424
12968|31296|435|3095|27806|22062
39207|21624|17676|26714|1050|7101
16328|13982|4268|1991|8540|16104
39207|822|598|24306|4506|2000
13517|26027|9723|17850|20160|19307
21999|20160|42992|3933|20767|14458
21388|6549|826|87|1178|26788
25169|26904|6197|29721|28119|25876
36920|15484|30109|12863|26056|36590
235|24306|7203|26357|33693|38838
9873|38533|35277|3199|7062|7392
28439|10936|1178|23855|187|21562
35960|187|40918|16734|34180|36590
21808|19|30109|650|1734|15523
21530|12396|20941|14600|37554|26165
18208|29|51|8799|20374|28439
33986|25533|4101|19425|836|20767
28439|19429|3955|2539|4016|23650
5745|16034|42875|42047|1715|2424
21999|23471|25074|680|755|24306
12151|1331|42662|5284|17153|200
879|31524|21562|19254|32538|2424
6857|23397|20941|15749|20160|12766
229|2231|28869|19260|20767|2424
35990|11457|27691|29413|12863|24508
9714|10936|4962|254|12911|2424
187|19083|3830|31792|16789|20767
35326|32684|87|19260|37329|36473
13260|10877|19469|27149|21999|11793
2604|14534|18207|28499|21427|2805
171|22289|60|492|24266|521
6549|680|26431|18409|27691|38438
785|229|2231|87|29975|21562
20134|18362|8046|10565|28484|3082
187|12151|8342|44305|16034|4686
12929|18162|11694|10911|7218|9421
